# These are fake values which do not correspond to any physical SiPM									
# portID	slaveID	chipID	channelID	regionID	xi	yi	x	y	z
# slot J15									
0	0	0	0	0	0	0	1.6	1.6	0
0	0	0	1	0	0	1	1.6	4.8	0
0	0	0	2	0	0	2	1.6	8	0
0	0	0	3	0	0	3	1.6	11.2	0
0	0	0	4	0	0	4	1.6	14.4	0
0	0	0	5	0	0	5	1.6	17.6	0
0	0	0	6	0	0	6	1.6	20.8	0
0	0	0	7	0	0	7	1.6	24	0
0	0	0	8	0	1	0	4.8	1.6	0
0	0	0	9	0	1	1	4.8	4.8	0
0	0	0	10	0	1	2	4.8	8	0
0	0	0	11	0	1	3	4.8	11.2	0
0	0	0	12	0	1	4	4.8	14.4	0
0	0	0	13	0	1	5	4.8	17.6	0
0	0	0	14	0	1	6	4.8	20.8	0
0	0	0	15	0	1	7	4.8	24	0
0	0	0	16	0	2	0	8	1.6	0
0	0	0	17	0	2	1	8	4.8	0
0	0	0	18	0	2	2	8	8	0
0	0	0	19	0	2	3	8	11.2	0
0	0	0	20	0	2	4	8	14.4	0
0	0	0	21	0	2	5	8	17.6	0
0	0	0	22	0	2	6	8	20.8	0
0	0	0	23	0	2	7	8	24	0
0	0	0	24	0	3	0	11.2	1.6	0
0	0	0	25	0	3	1	11.2	4.8	0
0	0	0	26	0	3	2	11.2	8	0
0	0	0	27	0	3	3	11.2	11.2	0
0	0	0	28	0	3	4	11.2	14.4	0
0	0	0	29	0	3	5	11.2	17.6	0
0	0	0	30	0	3	6	11.2	20.8	0
0	0	0	31	0	3	7	11.2	24	0
0	0	0	32	0	4	0	14.4	1.6	0
0	0	0	33	0	4	1	14.4	4.8	0
0	0	0	34	0	4	2	14.4	8	0
0	0	0	35	0	4	3	14.4	11.2	0
0	0	0	36	0	4	4	14.4	14.4	0
0	0	0	37	0	4	5	14.4	17.6	0
0	0	0	38	0	4	6	14.4	20.8	0
0	0	0	39	0	4	7	14.4	24	0
0	0	0	40	0	5	0	17.6	1.6	0
0	0	0	41	0	5	1	17.6	4.8	0
